COORD_1	COORD_2	R_Pearson	ID	p_Value	q_Value
chr3:128206720-128206870	chr3:127730160-127730310	0.0891157180653105	GATA2_ENST00000430265.2	0.434797532655022	0.663773748076898
chr3:128206720-128206870	chr3:127771020-127771170	0.424405408283081	GATA2_ENST00000430265.2	9.69775215480421e-05	0.00100080802237579
chr3:128206720-128206870	chr3:127773340-127773490	-0.124302008035544	GATA2_ENST00000430265.2	0.275074957950072	0.486091364048758
chr3:128206720-128206870	chr3:127787040-127787190	0.233481926799782	GATA2_ENST00000430265.2	0.0383708623974728	0.113789454006299
chr3:128206720-128206870	chr3:127793960-127794110	-0.116235706106968	GATA2_ENST00000430265.2	0.307671000940563	0.529194121617769
chr3:128206720-128206870	chr3:127794500-127794650	0.160529272861535	GATA2_ENST00000430265.2	0.157580215458195	0.353527787723603
chr3:128206720-128206870	chr3:127795780-127795930	0.146037088023824	GATA2_ENST00000430265.2	0.199067042736905	0.410874376208972
chr3:128206720-128206870	chr3:127796100-127796250	-0.126445461783044	GATA2_ENST00000430265.2	0.266817165563805	0.478047421635151
chr3:128206720-128206870	chr3:127799260-127799410	-0.0946144184925554	GATA2_ENST00000430265.2	0.406872380365769	0.64514832948043
chr3:128206720-128206870	chr3:127814100-127814250	0.139784479621277	GATA2_ENST00000430265.2	0.219195174339719	0.4345922931599
chr3:128206720-128206870	chr3:127837660-127837810	-0.0882411516784875	GATA2_ENST00000430265.2	0.439336847363927	0.664744203795438
chr3:128206720-128206870	chr3:127842680-127842830	0.480819676264746	GATA2_ENST00000430265.2	7.28924889488568e-06	0.000125375080992034
chr3:128206720-128206870	chr3:127847240-127847390	-0.1331789708462	GATA2_ENST00000430265.2	0.241971284835625	0.452381097736168
chr3:128206720-128206870	chr3:127852560-127852710	0.35138853325807	GATA2_ENST00000430265.2	0.0014966121102528	0.0101612085380322
chr3:128206720-128206870	chr3:127864220-127864370	-0.114837911281625	GATA2_ENST00000430265.2	0.313564271560546	0.53575882160676
chr3:128206720-128206870	chr3:127864680-127864830	-0.168758850179004	GATA2_ENST00000430265.2	0.137083707415123	0.324129931681335
chr3:128206720-128206870	chr3:127871900-127872050	0.0631089415473677	GATA2_ENST00000430265.2	0.580581800855353	0.76815438267016
chr3:128206720-128206870	chr3:127872740-127872890	0.216645738404175	GATA2_ENST00000430265.2	0.0551440053346081	0.152980143831493
chr3:128206720-128206870	chr3:127889880-127890030	0.519852584470004	GATA2_ENST00000430265.2	9.11816470152785e-07	2.35248649299418e-05
chr3:128206720-128206870	chr3:127909500-127909650	-0.179727797476921	GATA2_ENST00000430265.2	0.112982490119519	0.27761411857939
chr3:128206720-128206870	chr3:127912640-127912790	-0.000247823098947452	GATA2_ENST00000430265.2	0.998270514733295	0.999079397057757
chr3:128206720-128206870	chr3:127914360-127914510	0.237140970518875	GATA2_ENST00000430265.2	0.0353544158809923	0.106063247642977
chr3:128206720-128206870	chr3:127926360-127926510	0.0383150478429205	GATA2_ENST00000430265.2	0.737439067812937	0.860901717175284
chr3:128206720-128206870	chr3:127936700-127936850	-0.0875079682070118	GATA2_ENST00000430265.2	0.443162802530292	0.664744203795438
chr3:128206720-128206870	chr3:127945800-127945950	0.646488855561957	GATA2_ENST00000430265.2	1.2314145301952e-10	6.35409897580721e-09
chr3:128206720-128206870	chr3:127985380-127985530	0.410011359376385	GATA2_ENST00000430265.2	0.00017502359661099	0.00173677261252443
chr3:128206720-128206870	chr3:128057720-128057870	-0.0580988029958054	GATA2_ENST00000430265.2	0.611037893781771	0.788238882978485
chr3:128206720-128206870	chr3:128058400-128058550	-0.0394992394435163	GATA2_ENST00000430265.2	0.729631356196417	0.857279863428376
chr3:128206720-128206870	chr3:128058900-128059050	0.0897272583241897	GATA2_ENST00000430265.2	0.431639254992531	0.662874570167102
chr3:128206720-128206870	chr3:128062520-128062670	0.484180791195217	GATA2_ENST00000430265.2	6.1552406961284e-06	0.000113432292828652
chr3:128206720-128206870	chr3:128064140-128064290	-0.0543356788962274	GATA2_ENST00000430265.2	0.634359452864409	0.810221479401076
chr3:128206720-128206870	chr3:128067620-128067770	0.149629273674981	GATA2_ENST00000430265.2	0.18812060531876	0.394594440424716
chr3:128206720-128206870	chr3:128073000-128073150	0.0824749778666671	GATA2_ENST00000430265.2	0.469924599154016	0.683270209891287
chr3:128206720-128206870	chr3:128099680-128099830	0.16313617844247	GATA2_ENST00000430265.2	0.150855153488383	0.344430350442502
chr3:128206720-128206870	chr3:128102460-128102610	0.398237811782193	GATA2_ENST00000430265.2	0.000278227684089224	0.00247526698258689
chr3:128206720-128206870	chr3:128114440-128114590	0.365036057613682	GATA2_ENST00000430265.2	0.000940562732058972	0.00674069957975597
chr3:128206720-128206870	chr3:128121640-128121790	-0.067476065047478	GATA2_ENST00000430265.2	0.554617573872238	0.753112284521249
chr3:128206720-128206870	chr3:128127580-128127730	0.264983137235225	GATA2_ENST00000430265.2	0.018273132196972	0.0693304133355704
chr3:128206720-128206870	chr3:128129020-128129170	0.154973296745087	GATA2_ENST00000430265.2	0.172651800773731	0.38071935555233
chr3:128206720-128206870	chr3:128129740-128129890	0.265575506396087	GATA2_ENST00000430265.2	0.0180052490266249	0.0693304133355704
chr3:128206720-128206870	chr3:128130460-128130610	0.257419362463411	GATA2_ENST00000430265.2	0.0220058172581812	0.0763950816246135
chr3:128206720-128206870	chr3:128130640-128130790	0.280725451754072	GATA2_ENST00000430265.2	0.0122111319401079	0.0516470826319319
chr3:128206720-128206870	chr3:128131500-128131650	0.193610475339325	GATA2_ENST00000430265.2	0.0873332124558538	0.229918049118472
chr3:128206720-128206870	chr3:128131900-128132050	0.0827274323059201	GATA2_ENST00000430265.2	0.468561716179353	0.683270209891287
chr3:128206720-128206870	chr3:128132380-128132530	0.259655095487149	GATA2_ENST00000430265.2	0.0208402046543884	0.0756467440267847
chr3:128206720-128206870	chr3:128134240-128134390	0.0718810337938736	GATA2_ENST00000430265.2	0.529005882037109	0.729738383864835
chr3:128206720-128206870	chr3:128134860-128135010	0.199459581976994	GATA2_ENST00000430265.2	0.0780130824383115	0.211867108095625
chr3:128206720-128206870	chr3:128135360-128135510	0.0598925264136626	GATA2_ENST00000430265.2	0.600054276978074	0.78403123376032
chr3:128206720-128206870	chr3:128135780-128135930	-0.182978572596819	GATA2_ENST00000430265.2	0.106508875878979	0.269404803693889
chr3:128206720-128206870	chr3:128143360-128143510	-0.0109353684127488	GATA2_ENST00000430265.2	0.923799113047369	0.983507895592264
chr3:128206720-128206870	chr3:128143620-128143770	-0.00837917850565152	GATA2_ENST00000430265.2	0.94157538841585	0.983507895592264
chr3:128206720-128206870	chr3:128145480-128145630	0.501745195528213	GATA2_ENST00000430265.2	2.46933282656843e-06	5.30906557712212e-05
chr3:128206720-128206870	chr3:128154140-128154290	0.142559407264754	GATA2_ENST00000430265.2	0.210092241325596	0.426801561118139
chr3:128206720-128206870	chr3:128176040-128176190	0.272799042828249	GATA2_ENST00000430265.2	0.0150003694316046	0.0604702392711562
chr3:128206720-128206870	chr3:128189540-128189690	0.269121888822864	GATA2_ENST00000430265.2	0.0164709845770479	0.0643865760739147
chr3:128206720-128206870	chr3:128197500-128197650	0.128055792551318	GATA2_ENST00000430265.2	0.260724358986227	0.470397794534592
chr3:128206720-128206870	chr3:128202060-128202210	0.470164537021348	GATA2_ENST00000430265.2	1.2315047086636e-05	0.00017651567490845
chr3:128206720-128206870	chr3:128204000-128204150	0.401763241456332	GATA2_ENST00000430265.2	0.000242606232011607	0.00223544313782124
chr3:128206720-128206870	chr3:128207920-128208070	0.85817984353076	GATA2_ENST00000430265.2	5.29115025438719e-24	1.36511676563189e-21
chr3:128206720-128206870	chr3:128209240-128209390	0.555840610706435	GATA2_ENST00000430265.2	1.05121243848171e-07	3.8744687018326e-06
chr3:128206720-128206870	chr3:128209700-128209850	0.247835257170444	GATA2_ENST00000430265.2	0.0276528772948841	0.0914672095138473
chr3:128206720-128206870	chr3:128212180-128212330	0.244035828642433	GATA2_ENST00000430265.2	0.0302083577125239	0.0986551429092552
chr3:128206720-128206870	chr3:128214360-128214510	0.163361053414587	GATA2_ENST00000430265.2	0.150285247127149	0.344430350442502
chr3:128206720-128206870	chr3:128215460-128215610	0.0656579418988154	GATA2_ENST00000430265.2	0.565359178114381	0.759701395591199
chr3:128206720-128206870	chr3:128216560-128216710	0.451858155773772	GATA2_ENST00000430265.2	2.91358483559181e-05	0.000360383113607578
chr3:128206720-128206870	chr3:128222000-128222150	-0.000553132032818622	GATA2_ENST00000430265.2	0.996139864358086	0.999079397057757
chr3:128206720-128206870	chr3:128223860-128224010	-0.0521859362216797	GATA2_ENST00000430265.2	0.647845740557477	0.812945331645185
chr3:128206720-128206870	chr3:128224720-128224870	-0.0392892595018749	GATA2_ENST00000430265.2	0.731013837031949	0.857279863428376
chr3:128206720-128206870	chr3:128251020-128251170	-0.168289764632249	GATA2_ENST00000430265.2	0.138194932112197	0.324129931681335
chr3:128206720-128206870	chr3:128251880-128252030	-0.00427280946594282	GATA2_ENST00000430265.2	0.970188087258875	0.988948095210947
chr3:128206720-128206870	chr3:128256020-128256170	-0.154114647010404	GATA2_ENST00000430265.2	0.175072264778525	0.38278512129542
chr3:128206720-128206870	chr3:128265360-128265510	0.000131915867060013	GATA2_ENST00000430265.2	0.999079397057757	0.999079397057757
chr3:128206720-128206870	chr3:128266320-128266470	-0.133468173428577	GATA2_ENST00000430265.2	0.240941167698091	0.452381097736168
chr3:128206720-128206870	chr3:128267700-128267850	0.223038216342757	GATA2_ENST00000430265.2	0.0481804164364171	0.136599422424128
chr3:128206720-128206870	chr3:128268200-128268350	0.433689676218904	GATA2_ENST00000430265.2	6.5319336289985e-05	0.000702182865117339
chr3:128206720-128206870	chr3:128273060-128273210	0.332270132364282	GATA2_ENST00000430265.2	0.00277426479713973	0.0159057848369344
chr3:128206720-128206870	chr3:128282100-128282250	-0.191576367040106	GATA2_ENST00000430265.2	0.0907734310921133	0.234195452217652
chr3:128206720-128206870	chr3:128285200-128285350	0.258560864841089	GATA2_ENST00000430265.2	0.0214039236975011	0.0756467440267847
chr3:128206720-128206870	chr3:128288700-128288850	-0.106315368006951	GATA2_ENST00000430265.2	0.351059411329378	0.573248912170757
chr3:128206720-128206870	chr3:128292820-128292970	0.297908899462729	GATA2_ENST00000430265.2	0.00766446687565824	0.0340936629986177
chr3:128206720-128206870	chr3:128296800-128296950	0.161150663491315	GATA2_ENST00000430265.2	0.155957346332029	0.35295609959354
chr3:128206720-128206870	chr3:128303320-128303470	0.498148181764784	GATA2_ENST00000430265.2	2.98959031588858e-06	5.93318693460964e-05
chr3:128206720-128206870	chr3:128304240-128304390	0.0370316706377366	GATA2_ENST00000430265.2	0.745930810491067	0.866738921616384
chr3:128206720-128206870	chr3:128307020-128307170	-0.0851667296435715	GATA2_ENST00000430265.2	0.455504206512245	0.678940174178342
chr3:128206720-128206870	chr3:128309900-128310050	0.222278988519781	GATA2_ENST00000430265.2	0.0489675302191544	0.137321986918933
chr3:128206720-128206870	chr3:128367600-128367750	-0.0907994561953765	GATA2_ENST00000430265.2	0.426133509627735	0.658337996909914
chr3:128206720-128206870	chr3:128369000-128369150	0.657138859091091	GATA2_ENST00000430265.2	4.7867105597666e-11	3.08742831104945e-09
chr3:128206720-128206870	chr3:128369680-128369830	0.516823471174199	GATA2_ENST00000430265.2	1.08151830097517e-06	2.53665201501449e-05
